Record_ID,City,Day_of_Week,Hour,Weather,Traffic_Level,Vehicle_Type,Road_Type,Speed_Limit_kmh,Average_Speed_kmh,Pedestrian_Count,Visibility_Percent,Near_Miss_Score,Incident
21,Karachi,Tuesday,23,Clear,High,Motorcycle,Main Road,60,67.8,9,74.4,65.0,1
22,Lahore,Wednesday,11,Clear,Low,Car,Main Road,60,80.3,8,84.6,34.5,0
23,Quetta,Thursday,5,Clear,Medium,Van,Highway,100,87.0,10,90.8,5.7,0
24,Rawalpindi,Sunday,1,Cloudy,Medium,Car,Market,50,38.0,20,91.7,19.8,0
25,Peshawar,Monday,20,Cloudy,Medium,Van,Main Road,60,57.7,6,83.2,61.1,0
26,Islamabad,Monday,0,Cloudy,Medium,Bus,Highway,100,110.9,9,87.6,25.9,0
27,Quetta,Tuesday,11,Clear,Severe,Rickshaw,Main Road,60,30.1,7,87.4,40.5,0
28,Quetta,Tuesday,21,Clear,Low,Van,Residential,50,55.8,4,88.6,35.0,0
29,Islamabad,Tuesday,11,Dust,Medium,Car,School Zone,40,38.6,34,63.0,54.3,0
30,Quetta,Sunday,16,Rain,Medium,Car,Main Road,60,30.0,9,79.5,18.7,0
31,Rawalpindi,Wednesday,9,Clear,Medium,Car,Highway,100,75.0,9,80.5,8.0,0
32,Lahore,Thursday,15,Cloudy,Medium,Rickshaw,Highway,100,86.3,9,78.2,21.7,0
33,Quetta,Monday,14,Dust,High,Motorcycle,Residential,50,27.5,8,65.8,66.9,1
34,Islamabad,Saturday,14,Dust,High,Rickshaw,School Zone,40,10.0,34,60.5,69.9,1
35,Quetta,Friday,18,Clear,Low,Bus,Main Road,60,61.3,13,90.4,29.3,0
36,Karachi,Sunday,11,Rain,High,Car,Main Road,60,41.2,9,81.5,38.6,0
37,Rawalpindi,Sunday,22,Clear,Severe,Motorcycle,Main Road,60,31.7,4,85.1,48.6,0
38,Rawalpindi,Wednesday,19,Rain,Low,Rickshaw,Residential,50,32.0,8,58.6,33.4,0
39,Lahore,Monday,2,Clear,Medium,Motorcycle,Main Road,60,48.9,5,100.0,21.8,0
40,Karachi,Thursday,4,Cloudy,Medium,Van,Market,50,68.7,25,96.9,32.7,0
41,Karachi,Wednesday,18,Cloudy,Low,Motorcycle,Main Road,60,47.1,9,71.5,11.0,0
42,Lahore,Saturday,6,Clear,Medium,Bus,Main Road,60,46.9,3,79.8,2.7,0
43,Multan,Monday,20,Cloudy,Low,Car,Main Road,60,55.8,8,83.7,9.8,0
44,Multan,Wednesday,8,Rain,Severe,Rickshaw,Main Road,60,13.7,10,68.3,60.3,0
45,Peshawar,Monday,6,Clear,Medium,Car,Highway,100,94.4,6,85.8,26.9,0
46,Multan,Monday,17,Clear,Severe,Car,Highway,100,68.7,10,92.8,50.4,0
47,Quetta,Sunday,3,Clear,Low,Motorcycle,Highway,100,89.9,5,85.0,22.6,0
48,Karachi,Thursday,13,Cloudy,Low,Van,Residential,50,43.0,6,69.0,22.3,0
49,Peshawar,Sunday,17,Dust,Medium,Motorcycle,Market,50,52.8,18,59.8,58.0,0
50,Peshawar,Friday,8,Rain,High,Van,Main Road,60,37.1,11,78.2,14.4,0
51,Rawalpindi,Thursday,20,Clear,Medium,Car,Main Road,60,58.7,6,84.8,37.6,0
52,Quetta,Monday,1,Clear,High,Motorcycle,Market,50,34.1,14,89.4,44.1,0
53,Rawalpindi,Wednesday,19,Clear,Medium,Car,Market,50,26.6,24,93.8,23.1,0
54,Islamabad,Saturday,14,Fog,Low,Bus,Main Road,60,35.6,11,47.9,31.6,0
55,Multan,Thursday,6,Clear,High,Rickshaw,Market,50,21.9,16,95.6,28.9,0
56,Rawalpindi,Friday,11,Clear,High,Motorcycle,School Zone,40,37.4,42,91.5,79.6,1
57,Karachi,Monday,7,Cloudy,Low,Van,Residential,50,55.2,4,97.6,44.6,0
58,Karachi,Saturday,14,Dust,Low,Car,Residential,50,80.7,8,70.7,49.2,0
59,Quetta,Thursday,2,Clear,Medium,Car,Main Road,60,51.4,8,87.5,30.0,0
60,Peshawar,Sunday,13,Clear,Medium,Car,Residential,50,45.4,10,89.4,37.1,0
61,Karachi,Sunday,16,Cloudy,High,Motorcycle,Residential,50,35.8,4,94.4,55.6,0
62,Multan,Thursday,3,Cloudy,Medium,Motorcycle,School Zone,40,17.9,28,79.3,17.4,0
63,Rawalpindi,Thursday,17,Clear,High,Motorcycle,Main Road,60,49.8,5,91.2,59.7,0
64,Multan,Thursday,7,Cloudy,High,Rickshaw,Main Road,60,36.5,12,82.8,33.5,0
65,Rawalpindi,Saturday,3,Cloudy,High,Motorcycle,School Zone,40,10.0,44,91.4,54.7,1
66,Quetta,Sunday,1,Dust,Medium,Rickshaw,Market,50,40.2,21,70.5,27.1,0
67,Multan,Wednesday,5,Clear,High,Motorcycle,Highway,100,69.2,7,88.0,45.4,0
68,Rawalpindi,Friday,21,Clear,High,Motorcycle,Highway,100,73.7,9,93.5,47.2,0
69,Multan,Friday,9,Rain,High,Motorcycle,Main Road,60,41.5,6,78.5,52.9,0
70,Lahore,Monday,3,Rain,High,Rickshaw,Residential,50,19.6,8,79.5,54.7,0
71,Quetta,Tuesday,21,Rain,Low,Motorcycle,Main Road,60,31.1,10,85.8,56.2,0
72,Quetta,Wednesday,17,Rain,Medium,Motorcycle,Market,50,35.6,25,87.2,23.4,0
73,Karachi,Sunday,11,Clear,Medium,Motorcycle,School Zone,40,35.1,32,88.5,53.7,0
74,Quetta,Monday,1,Clear,Low,Car,Main Road,60,58.8,11,83.1,39.6,0
75,Islamabad,Monday,9,Clear,High,Van,Main Road,60,10.0,9,88.6,47.5,0
76,Karachi,Thursday,3,Fog,Medium,Van,School Zone,40,26.6,42,59.1,46.8,0
77,Karachi,Tuesday,13,Clear,Medium,Motorcycle,Main Road,60,55.3,12,100.0,60.2,0
78,Multan,Sunday,15,Clear,Medium,Motorcycle,Main Road,60,53.6,6,89.2,15.4,0
79,Lahore,Tuesday,14,Clear,Medium,Rickshaw,Main Road,60,57.9,8,89.1,44.5,0
80,Karachi,Wednesday,7,Dust,Low,Motorcycle,Highway,100,100.3,12,74.4,69.4,1
81,Peshawar,Tuesday,13,Dust,Low,Rickshaw,Highway,100,117.6,8,76.1,52.8,0
82,Rawalpindi,Monday,22,Dust,High,Motorcycle,Highway,100,90.9,7,67.8,66.7,1
83,Rawalpindi,Tuesday,7,Clear,Medium,Car,Highway,100,101.8,7,89.7,54.2,0
84,Quetta,Tuesday,20,Cloudy,Low,Motorcycle,Highway,100,113.6,7,89.5,50.4,0
85,Multan,Friday,15,Clear,Medium,Rickshaw,Highway,100,82.7,10,94.3,20.0,0
86,Lahore,Sunday,12,Clear,Medium,Motorcycle,Residential,50,31.0,10,91.3,13.1,0
87,Rawalpindi,Sunday,17,Clear,Low,Motorcycle,Highway,100,92.3,9,71.4,40.1,0
88,Peshawar,Monday,14,Clear,Medium,Car,Market,50,45.3,25,86.2,68.3,1
89,Lahore,Saturday,20,Cloudy,Low,Motorcycle,Residential,50,58.6,5,80.7,44.0,0
90,Islamabad,Tuesday,23,Dust,Low,Motorcycle,Highway,100,96.7,7,56.2,48.7,1
91,Rawalpindi,Tuesday,12,Clear,High,Motorcycle,Highway,100,87.2,10,86.6,36.2,0
92,Karachi,Thursday,8,Dust,Medium,Van,Main Road,60,67.6,2,72.6,56.4,1
93,Peshawar,Sunday,14,Clear,Medium,Motorcycle,Main Road,60,32.0,14,94.6,32.5,0
94,Multan,Tuesday,12,Clear,Medium,Motorcycle,Main Road,60,75.7,6,96.4,58.6,1
95,Multan,Sunday,0,Clear,Severe,Van,Residential,50,10.0,9,100.0,61.8,0
96,Peshawar,Tuesday,6,Clear,High,Rickshaw,Main Road,60,53.7,4,86.5,39.5,0
97,Rawalpindi,Friday,8,Clear,Medium,Bus,Highway,100,97.8,8,100.0,37.0,0
98,Quetta,Monday,23,Cloudy,Low,Bus,Main Road,60,57.9,6,96.5,38.0,0
99,Islamabad,Sunday,0,Rain,Low,Rickshaw,Residential,50,24.8,5,80.9,33.4,0
100,Karachi,Wednesday,11,Dust,High,Motorcycle,Main Road,60,46.4,4,71.0,50.4,0
101,Islamabad,Monday,7,Clear,Medium,Bus,Residential,50,49.3,9,84.3,47.7,0
102,Islamabad,Thursday,23,Rain,Low,Motorcycle,Residential,50,16.4,8,93.0,40.3,0
103,Rawalpindi,Monday,10,Cloudy,Severe,Motorcycle,Highway,100,61.3,11,100.0,64.5,1
104,Karachi,Tuesday,18,Fog,Medium,Motorcycle,Market,50,15.6,22,32.1,39.6,0
105,Rawalpindi,Thursday,16,Clear,Medium,Bus,Highway,100,67.3,7,81.7,17.4,1
106,Rawalpindi,Monday,7,Fog,High,Rickshaw,Market,50,14.6,25,41.4,44.4,0
107,Quetta,Thursday,2,Rain,High,Bus,Highway,100,67.4,11,73.6,47.0,0
108,Peshawar,Wednesday,2,Rain,High,Car,Market,50,21.3,26,87.9,61.3,0
109,Multan,Monday,0,Clear,Severe,Car,Highway,100,56.0,8,87.6,24.1,0
110,Quetta,Sunday,4,Clear,Severe,Bus,Market,50,26.8,16,97.7,48.9,0
111,Multan,Sunday,9,Cloudy,Severe,Car,Market,50,30.4,25,87.7,35.8,0
112,Quetta,Saturday,6,Clear,Medium,Car,Residential,50,31.7,11,96.5,27.0,0
113,Rawalpindi,Tuesday,8,Clear,Medium,Motorcycle,Main Road,60,51.6,4,94.8,15.6,0
114,Quetta,Thursday,6,Fog,Low,Car,Residential,50,38.2,8,45.8,31.4,0
115,Multan,Saturday,8,Clear,High,Motorcycle,Main Road,60,52.2,9,88.6,45.3,0
116,Quetta,Saturday,7,Clear,Low,Car,Market,50,70.9,20,95.7,32.4,0
117,Lahore,Friday,11,Cloudy,Medium,Rickshaw,Main Road,60,71.4,11,97.8,21.6,0
118,Karachi,Thursday,1,Clear,Low,Motorcycle,School Zone,40,29.0,30,100.0,31.8,0
119,Peshawar,Saturday,0,Cloudy,Medium,Motorcycle,Main Road,60,67.1,10,78.2,41.0,1
120,Multan,Friday,15,Cloudy,High,Van,Main Road,60,30.4,6,89.9,22.9,0
121,Karachi,Saturday,22,Clear,Low,Rickshaw,School Zone,40,10.0,49,83.3,36.9,0
122,Peshawar,Tuesday,22,Rain,High,Motorcycle,Residential,50,10.0,10,72.9,31.2,1
123,Lahore,Wednesday,23,Clear,Medium,Motorcycle,Residential,50,37.3,7,75.3,13.0,0
124,Rawalpindi,Friday,4,Dust,Medium,Motorcycle,School Zone,40,28.1,33,70.0,64.4,0
125,Multan,Wednesday,2,Fog,Severe,Car,Market,50,23.8,23,49.0,62.7,0
126,Peshawar,Thursday,11,Clear,Medium,Rickshaw,Residential,50,31.1,12,86.6,22.4,0
127,Peshawar,Tuesday,7,Dust,Medium,Motorcycle,Residential,50,13.1,10,66.9,22.6,0
128,Peshawar,Friday,21,Cloudy,Severe,Bus,Main Road,60,48.6,13,100.0,32.5,0
129,Lahore,Thursday,2,Clear,Medium,Van,Market,50,38.1,16,89.7,17.7,0
130,Karachi,Saturday,0,Clear,High,Car,Residential,50,33.8,8,80.1,36.1,0
131,Lahore,Sunday,2,Clear,High,Motorcycle,Main Road,60,34.4,8,94.5,60.1,0
132,Peshawar,Monday,4,Fog,Medium,Rickshaw,Main Road,60,41.2,6,44.7,47.9,0
133,Quetta,Thursday,14,Clear,Medium,Bus,Highway,100,71.2,8,86.0,1.2,0
134,Peshawar,Wednesday,13,Clear,Low,Motorcycle,Market,50,47.1,23,89.4,55.0,0
135,Quetta,Tuesday,2,Clear,Medium,Car,School Zone,40,21.2,38,91.8,33.6,0
136,Rawalpindi,Tuesday,0,Cloudy,Medium,Rickshaw,Residential,50,29.2,9,87.0,26.2,0
137,Lahore,Thursday,4,Fog,Medium,Motorcycle,School Zone,40,18.4,40,41.1,60.4,1
138,Quetta,Saturday,22,Cloudy,High,Motorcycle,Residential,50,38.1,15,85.3,22.9,0
139,Lahore,Monday,13,Clear,High,Motorcycle,Residential,50,33.3,7,93.9,34.2,1
140,Islamabad,Wednesday,6,Clear,High,Van,Main Road,60,32.0,11,79.8,34.7,0
141,Karachi,Thursday,8,Clear,Low,Motorcycle,Main Road,60,43.7,7,81.1,34.3,0
142,Islamabad,Thursday,14,Clear,Low,Motorcycle,School Zone,40,42.4,40,86.6,65.8,1
143,Quetta,Sunday,14,Cloudy,Low,Motorcycle,School Zone,40,27.6,36,73.6,33.5,0
144,Islamabad,Tuesday,9,Clear,Severe,Van,Market,50,31.2,23,100.0,56.2,0
145,Multan,Wednesday,12,Dust,High,Motorcycle,Main Road,60,62.8,11,73.5,66.3,1
146,Karachi,Monday,18,Cloudy,Severe,Bus,School Zone,40,11.6,36,95.4,49.3,0
147,Quetta,Tuesday,6,Dust,Medium,Motorcycle,Highway,100,108.4,7,60.7,53.6,0
148,Rawalpindi,Thursday,16,Fog,Medium,Rickshaw,Main Road,60,28.5,10,63.5,19.5,0
149,Rawalpindi,Tuesday,19,Fog,Medium,Rickshaw,Main Road,60,31.1,11,49.9,44.0,0
150,Karachi,Tuesday,3,Clear,Medium,Motorcycle,Main Road,60,29.8,4,93.6,34.1,0
151,Karachi,Friday,4,Fog,High,Motorcycle,Market,50,11.7,17,31.4,76.0,1
152,Quetta,Tuesday,22,Rain,Medium,Motorcycle,Residential,50,15.4,8,67.7,45.1,0
153,Lahore,Saturday,6,Rain,High,Car,Main Road,60,10.0,6,85.6,29.2,0
154,Multan,Tuesday,12,Clear,High,Rickshaw,Residential,50,41.4,8,100.0,31.2,0
155,Quetta,Saturday,14,Clear,Medium,Motorcycle,School Zone,40,42.5,32,81.3,55.7,0
156,Lahore,Wednesday,10,Fog,Severe,Bus,Market,50,10.0,28,46.0,59.2,0
157,Lahore,Tuesday,3,Clear,Medium,Motorcycle,Highway,100,101.0,12,78.2,46.4,0
158,Lahore,Monday,12,Clear,High,Car,Highway,100,84.2,4,93.7,58.1,0
159,Quetta,Saturday,6,Clear,High,Motorcycle,School Zone,40,43.6,33,83.7,81.1,1
160,Peshawar,Saturday,18,Dust,Medium,Motorcycle,Main Road,60,52.3,9,73.3,27.3,0
161,Peshawar,Thursday,21,Clear,Medium,Motorcycle,Main Road,60,58.5,5,95.7,67.2,1
162,Rawalpindi,Wednesday,1,Fog,High,Car,Residential,50,22.4,8,31.4,36.5,0
163,Peshawar,Tuesday,9,Clear,Low,Motorcycle,Market,50,42.6,16,66.3,27.1,0
164,Peshawar,Sunday,12,Clear,Severe,Rickshaw,Market,50,16.3,22,88.7,49.1,0
165,Lahore,Monday,20,Clear,Low,Rickshaw,Main Road,60,55.0,3,83.4,32.7,0
166,Lahore,Thursday,5,Cloudy,Medium,Rickshaw,Main Road,60,59.1,10,81.8,30.1,1
167,Karachi,Wednesday,11,Clear,Severe,Van,Residential,50,16.2,11,100.0,47.4,0
168,Lahore,Saturday,11,Clear,Low,Van,Main Road,60,61.6,9,81.7,27.3,0
169,Quetta,Monday,19,Clear,Low,Motorcycle,School Zone,40,43.5,28,85.9,33.1,0
170,Karachi,Tuesday,10,Clear,High,Motorcycle,School Zone,40,13.6,31,82.3,55.9,0
171,Multan,Sunday,22,Cloudy,Medium,Car,Main Road,60,45.6,5,87.6,8.8,0
172,Karachi,Friday,6,Clear,Low,Car,Market,50,44.1,24,88.9,32.3,0
173,Peshawar,Friday,0,Clear,Low,Van,Main Road,60,65.2,6,73.4,32.6,0
174,Lahore,Wednesday,0,Clear,Severe,Motorcycle,Market,50,28.7,20,80.6,48.6,0
175,Peshawar,Sunday,19,Clear,Medium,Rickshaw,Highway,100,105.2,4,96.3,31.6,0
176,Lahore,Monday,12,Fog,High,Car,Main Road,60,19.3,6,47.4,65.9,1
177,Peshawar,Thursday,8,Clear,Medium,Van,Market,50,34.4,22,95.5,1.4,0
178,Multan,Monday,2,Clear,Medium,Rickshaw,School Zone,40,23.2,34,85.8,39.8,0
179,Peshawar,Sunday,6,Clear,Low,Motorcycle,Main Road,60,80.7,7,78.7,54.9,0
180,Peshawar,Saturday,5,Cloudy,Severe,Motorcycle,Main Road,60,31.7,16,89.6,54.7,1
181,Quetta,Friday,7,Cloudy,Medium,Rickshaw,Market,50,60.2,19,88.0,43.4,0
182,Multan,Wednesday,8,Clear,Low,Van,Residential,50,63.9,7,92.6,38.4,0
183,Rawalpindi,Tuesday,4,Cloudy,Low,Rickshaw,School Zone,40,22.7,38,94.9,37.0,0
184,Multan,Monday,0,Cloudy,Medium,Rickshaw,Residential,50,54.0,11,92.1,46.4,0
185,Peshawar,Friday,18,Clear,Medium,Motorcycle,Residential,50,48.1,13,94.0,45.3,0
186,Islamabad,Thursday,9,Clear,Low,Car,Market,50,55.3,21,90.8,34.8,0
187,Islamabad,Wednesday,11,Cloudy,Medium,Van,Main Road,60,62.7,11,92.0,56.5,0
188,Islamabad,Tuesday,23,Cloudy,High,Motorcycle,Main Road,60,53.8,9,92.9,39.5,0
189,Quetta,Monday,14,Fog,Medium,Car,Residential,50,51.2,7,42.9,53.4,0
190,Karachi,Thursday,21,Clear,Low,Car,Main Road,60,73.7,13,96.1,42.7,0
191,Peshawar,Tuesday,23,Rain,Low,Bus,School Zone,40,29.8,46,90.8,32.3,0
192,Multan,Saturday,8,Clear,Medium,Car,Market,50,50.1,28,91.0,41.1,0
193,Islamabad,Friday,19,Dust,Low,Car,Highway,100,108.1,9,62.3,58.6,1
194,Quetta,Saturday,16,Cloudy,Low,Motorcycle,Main Road,60,90.4,9,88.7,51.3,0
195,Karachi,Friday,16,Cloudy,High,Motorcycle,Residential,50,40.1,6,91.6,45.4,0
196,Islamabad,Thursday,19,Clear,Medium,Rickshaw,Main Road,60,26.4,10,98.8,15.5,0
197,Lahore,Saturday,11,Clear,Medium,Van,Main Road,60,61.1,7,84.1,26.5,0
198,Rawalpindi,Friday,6,Rain,Medium,Motorcycle,Market,50,24.3,34,76.6,43.1,1
199,Peshawar,Wednesday,1,Clear,High,Motorcycle,Main Road,60,51.5,7,97.8,35.9,0
200,Rawalpindi,Thursday,2,Clear,Low,Rickshaw,School Zone,40,35.4,31,78.2,39.0,0
201,Rawalpindi,Friday,16,Clear,Low,Motorcycle,School Zone,40,21.2,28,100.0,36.0,0
202,Lahore,Monday,4,Clear,Low,Motorcycle,Main Road,60,60.5,8,78.0,38.6,0
203,Lahore,Friday,16,Cloudy,Severe,Car,Highway,100,77.9,9,87.7,66.3,1
204,Lahore,Saturday,23,Clear,Medium,Bus,Main Road,60,51.0,4,94.6,24.5,0
205,Karachi,Wednesday,16,Clear,Low,Motorcycle,Market,50,61.8,19,90.0,49.1,1
206,Islamabad,Tuesday,16,Clear,Low,Van,Main Road,60,58.4,8,87.9,47.0,0
207,Multan,Tuesday,1,Dust,High,Motorcycle,School Zone,40,23.1,37,61.3,52.9,1
208,Peshawar,Friday,1,Fog,Low,Motorcycle,Highway,100,84.5,7,50.5,48.9,0
209,Lahore,Tuesday,21,Clear,High,Car,Market,50,57.5,25,98.4,49.2,0
210,Quetta,Friday,22,Cloudy,Severe,Rickshaw,Main Road,60,31.5,9,97.2,40.0,0
211,Peshawar,Wednesday,4,Clear,Low,Rickshaw,Highway,100,93.1,9,94.7,49.2,0
212,Multan,Tuesday,0,Cloudy,Low,Motorcycle,Residential,50,50.5,9,96.0,46.8,0
213,Peshawar,Saturday,0,Rain,Low,Motorcycle,Market,50,31.4,18,65.0,28.6,0
214,Peshawar,Saturday,18,Clear,Low,Motorcycle,Market,50,61.7,23,81.8,44.8,0
215,Lahore,Monday,1,Clear,High,Motorcycle,Residential,50,40.7,8,87.9,53.6,0
216,Lahore,Friday,20,Cloudy,Low,Car,Main Road,60,52.8,11,76.3,21.5,0
217,Islamabad,Tuesday,11,Fog,Medium,Rickshaw,Residential,50,19.9,10,36.2,38.1,0
218,Multan,Saturday,5,Dust,Medium,Car,Residential,50,26.3,7,76.1,28.2,0
219,Lahore,Sunday,22,Rain,Severe,Van,Residential,50,11.6,8,80.3,92.8,1
220,Lahore,Wednesday,3,Clear,Medium,Bus,Highway,100,114.2,3,94.7,41.1,0
221,Peshawar,Wednesday,22,Clear,Low,Car,Residential,50,36.1,10,92.6,23.2,0
222,Islamabad,Sunday,10,Dust,Medium,Motorcycle,Residential,50,38.3,6,58.6,49.6,0
223,Rawalpindi,Sunday,23,Clear,High,Car,Main Road,60,39.6,13,92.0,33.8,0
224,Lahore,Monday,16,Cloudy,Low,Car,Market,50,31.4,17,88.8,25.5,0
225,Quetta,Wednesday,5,Clear,Low,Car,Main Road,60,51.2,7,84.8,21.8,0
226,Lahore,Wednesday,23,Clear,Severe,Bus,Main Road,60,21.6,11,96.2,46.7,0
227,Rawalpindi,Tuesday,4,Clear,Low,Motorcycle,Market,50,74.3,22,88.7,38.3,0
228,Peshawar,Friday,19,Dust,Low,Motorcycle,School Zone,40,45.9,31,55.0,66.6,1
229,Multan,Thursday,1,Clear,High,Rickshaw,Residential,50,20.2,10,89.1,24.9,0
230,Islamabad,Wednesday,5,Rain,Low,Rickshaw,Residential,50,42.7,7,85.0,25.3,0
231,Peshawar,Wednesday,21,Dust,Low,Van,Main Road,60,54.1,9,64.4,34.7,0
232,Multan,Thursday,10,Fog,Low,Van,Highway,100,85.4,7,52.2,21.3,0
233,Karachi,Wednesday,15,Clear,High,Motorcycle,Main Road,60,30.1,11,87.3,34.7,0
234,Lahore,Tuesday,15,Cloudy,Severe,Car,Highway,100,87.3,7,85.6,54.9,1
235,Multan,Tuesday,0,Fog,Medium,Rickshaw,Main Road,60,60.0,10,40.1,60.2,1
236,Quetta,Thursday,8,Clear,Low,Van,Main Road,60,62.6,8,95.6,41.6,0
237,Multan,Saturday,5,Cloudy,Low,Motorcycle,Residential,50,45.5,8,87.3,45.0,0
238,Karachi,Wednesday,15,Clear,Medium,Car,School Zone,40,38.1,33,94.8,55.0,0
239,Lahore,Saturday,2,Clear,High,Motorcycle,Main Road,60,42.6,5,97.5,69.3,0
240,Karachi,Wednesday,19,Clear,High,Rickshaw,Main Road,60,58.5,15,93.5,59.6,0
241,Rawalpindi,Friday,3,Cloudy,Medium,Rickshaw,Main Road,60,67.5,11,82.4,43.2,0
242,Lahore,Wednesday,18,Cloudy,Severe,Rickshaw,Market,50,30.4,16,86.6,39.6,0
243,Quetta,Tuesday,2,Clear,Low,Car,Residential,50,39.6,9,94.2,14.5,0
244,Lahore,Monday,18,Rain,Low,Car,Main Road,60,46.9,6,75.7,37.8,0
245,Karachi,Sunday,19,Clear,High,Motorcycle,Residential,50,23.4,18,100.0,37.3,0
246,Islamabad,Monday,6,Cloudy,Medium,Car,Main Road,60,41.1,7,91.2,18.3,0
247,Karachi,Monday,19,Fog,Medium,Van,Market,50,10.0,15,48.9,37.4,0
248,Lahore,Monday,8,Clear,Medium,Motorcycle,Main Road,60,70.2,8,99.1,44.1,0
249,Lahore,Sunday,0,Rain,Medium,Motorcycle,Residential,50,44.3,3,79.8,10.2,0
250,Multan,Saturday,7,Cloudy,Medium,Rickshaw,Main Road,60,36.0,2,91.6,8.0,0
251,Islamabad,Sunday,6,Rain,Severe,Car,School Zone,40,10.0,38,90.0,82.2,1
252,Peshawar,Saturday,17,Clear,Low,Van,Residential,50,44.2,8,96.5,16.0,0
253,Islamabad,Sunday,7,Clear,Medium,Motorcycle,Main Road,60,66.4,9,84.3,55.3,0
254,Peshawar,Sunday,0,Cloudy,Low,Rickshaw,School Zone,40,36.4,37,88.5,65.7,0
255,Quetta,Wednesday,10,Clear,High,Rickshaw,School Zone,40,10.0,26,86.6,19.2,0
256,Lahore,Saturday,17,Clear,Low,Motorcycle,Main Road,60,61.5,5,88.7,41.4,1
257,Multan,Wednesday,22,Dust,High,Car,Highway,100,76.9,9,70.6,35.1,0
258,Rawalpindi,Friday,9,Clear,Low,Motorcycle,Highway,100,96.5,10,93.3,39.7,0
259,Rawalpindi,Wednesday,2,Dust,Medium,Car,Residential,50,32.2,8,69.5,23.7,0
260,Karachi,Monday,6,Clear,High,Car,Main Road,60,52.6,10,99.0,24.1,0
261,Islamabad,Thursday,15,Cloudy,Medium,Van,Highway,100,111.7,8,77.2,33.9,0
262,Islamabad,Thursday,15,Fog,Medium,Motorcycle,Main Road,60,35.2,11,52.1,55.3,0
263,Rawalpindi,Tuesday,19,Fog,High,Motorcycle,Market,50,10.0,35,41.9,65.3,0
264,Peshawar,Tuesday,16,Clear,Low,Motorcycle,Residential,50,27.1,7,91.0,19.7,0
265,Islamabad,Wednesday,1,Dust,Severe,Rickshaw,Market,50,20.7,20,59.3,58.3,1
266,Peshawar,Sunday,0,Clear,Low,Van,Highway,100,108.8,7,92.3,43.5,0
267,Peshawar,Sunday,15,Clear,High,Car,Highway,100,83.7,12,92.0,31.7,0
268,Peshawar,Thursday,11,Cloudy,High,Motorcycle,School Zone,40,22.4,35,88.7,51.8,0
269,Peshawar,Monday,4,Fog,Medium,Motorcycle,Market,50,32.7,24,35.6,24.5,0
270,Multan,Saturday,4,Fog,Low,Motorcycle,Main Road,60,43.4,7,40.0,45.3,0
271,Karachi,Monday,22,Clear,Low,Car,Main Road,60,34.2,5,100.0,13.2,0
272,Karachi,Monday,8,Rain,Severe,Motorcycle,Residential,50,10.0,8,70.0,45.4,0
273,Multan,Wednesday,8,Rain,High,Rickshaw,Highway,100,93.4,7,80.8,69.3,1
274,Rawalpindi,Wednesday,2,Clear,Medium,Motorcycle,Residential,50,42.1,12,97.2,20.1,0
275,Karachi,Friday,18,Cloudy,Medium,Van,Market,50,61.4,20,98.3,31.4,0
276,Quetta,Monday,15,Clear,Low,Motorcycle,Main Road,60,68.6,6,89.5,54.1,0
