User_ID,Date,Age,Occupation,Sleep_Hours,Sleep_Quality,Screen_Time_Hours,Social_Media_Hours,Study_Work_Hours,Exercise_Minutes,Notifications_Received,Phone_Pickups,Caffeine_Cups,Stress_Score,Mood_Score,Productivity_Score,Tasks_Planned,Tasks_Completed,Weekend
U00018,2025-01-01,19,Teacher,5.3,7.0,9.5,2.0,6.4,23,155,111,2,8,9.0,61.7,7,1,No
U02320,2025-01-01,55,Freelancer,7.7,9.0,5.3,2.3,10.0,45,97,79,1,5,7.0,97.6,5,5,No
U04802,2025-01-01,22,Freelancer,6.3,7.0,7.6,4.2,6.1,42,159,109,4,6,6.0,70.1,8,3,Yes
U05441,2025-01-01,19,Freelancer,7.4,10.0,5.4,0.8,10.2,60,95,79,2,4,8.0,94.7,4,2,No
U06911,2025-01-01,29,Student,7.9,10.0,4.4,1.9,9.0,61,110,68,2,3,9.0,92.4,6,4,No
U03961,2025-01-01,57,Teacher,5.6,6.0,6.0,3.3,8.6,88,106,90,3,3,9.0,84.4,6,3,No
U04843,2025-01-01,47,Software Engineer,8.2,10.0,9.8,4.9,3.6,23,184,124,0,5,10.0,80.8,4,1,Yes
U06507,2025-01-01,41,Analyst,5.9,8.0,8.5,3.5,9.0,30,146,117,4,4,8.0,87.4,10,4,Yes
U06599,2025-01-01,53,Analyst,6.5,10.0,5.4,3.4,8.8,57,161,89,3,6,9.0,79.8,5,4,No
U03812,2025-01-01,58,Student,5.4,7.0,4.9,1.0,8.5,25,92,66,1,5,10.0,79.7,6,3,No
U03147,2025-01-01,29,Student,7.3,10.0,2.0,0.3,11.1,75,52,24,0,3,9.0,100.0,8,7,Yes
U06747,2025-01-01,59,Analyst,7.6,8.0,8.3,,6.8,29,185,119,0,6,8.0,75.1,9,6,No
U01938,2025-01-01,30,Freelancer,6.7,10.0,7.2,0.7,8.3,99,88,83,2,4,9.0,98.6,6,1,Yes
U00549,2025-01-02,46,Freelancer,7.6,10.0,6.6,2.0,3.1,22,131,81,0,7,10.0,81.6,8,2,No
U04233,2025-01-02,22,Student,7.1,10.0,7.2,3.7,6.7,15,119,99,0,7,8.0,68.3,5,3,No
U00995,2025-01-02,44,Designer,8.7,10.0,7.8,2.2,12.0,31,118,108,2,3,9.0,82.3,5,4,Yes
U04430,2025-01-02,43,Analyst,6.3,7.0,8.7,3.2,10.1,25,145,116,3,9,9.0,60.4,10,5,Yes
U00503,2025-01-02,49,Analyst,7.5,10.0,7.5,3.3,7.6,72,148,102,3,4,10.0,95.1,2,0,No
U03226,2025-01-02,59,Student,7.5,10.0,6.3,3.9,5.1,60,123,106,1,2,10.0,79.1,9,6,No
U04436,2025-01-02,29,Software Engineer,7.2,9.0,9.5,4.4,4.7,53,214,125,5,5,10.0,78.5,5,2,No
U04053,2025-01-02,35,Software Engineer,6.0,9.0,6.3,0.5,8.9,45,94,69,2,5,9.0,74.9,11,6,No
U05968,2025-01-02,55,Analyst,6.0,9.0,7.1,2.3,3.7,23,137,80,3,6,9.0,62.6,7,2,Yes
U01854,2025-01-02,45,Analyst,5.9,8.0,8.9,4.9,8.8,106,153,117,0,6,8.0,83.7,9,4,No
U02475,2025-01-02,49,Analyst,5.9,,7.1,1.3,6.7,28,103,74,0,5,6.0,58.5,3,2,Yes
U00768,2025-01-02,20,Student,5.8,9.0,8.9,5.2,9.2,97,171,115,1,6,7.0,76.8,9,7,No
U00294,2025-01-02,55,Student,5.2,8.0,4.6,1.9,12.0,21,108,70,1,4,7.0,88.6,7,3,No
U06197,2025-01-02,30,Freelancer,6.3,7.0,7.3,3.4,10.2,24,153,82,0,6,8.0,74.4,10,7,No
U03715,2025-01-02,33,Analyst,4.1,8.0,6.3,2.5,9.8,41,119,86,3,7,8.0,69.6,5,2,No
U06181,2025-01-02,48,Teacher,5.7,8.0,6.7,3.4,7.9,57,158,87,1,6,6.0,54.5,11,6,No
U03458,2025-01-02,32,Software Engineer,6.3,7.0,6.0,2.8,9.3,27,83,72,0,4,9.0,87.5,5,3,Yes
U03460,2025-01-02,46,Teacher,5.9,10.0,5.1,2.9,10.3,33,106,73,3,3,10.0,100.0,7,6,No
U06946,2025-01-02,40,Freelancer,7.5,9.0,4.6,1.0,10.8,12,127,62,1,3,8.0,100.0,7,6,No
U05703,2025-01-02,21,Teacher,6.3,8.0,7.6,4.7,7.8,21,158,116,2,7,5.0,73.8,9,7,Yes
U00376,2025-01-02,60,Designer,6.2,9.0,4.5,1.6,12.0,24,116,57,1,3,8.0,100.0,5,3,No
U03462,2025-01-02,35,Student,6.1,10.0,5.6,2.8,10.3,22,100,78,2,3,7.0,86.8,8,7,No
U00568,2025-01-03,55,Designer,5.8,8.0,6.9,3.7,6.6,40,152,97,0,5,7.0,79.1,13,6,No
U00636,2025-01-03,25,Teacher,7.6,10.0,8.9,2.6,8.8,81,165,118,1,4,10.0,82.5,7,4,No
U01789,2025-01-03,51,Student,5.0,8.0,6.8,4.4,5.2,65,147,99,2,5,9.0,78.6,14,7,Yes
U06045,2025-01-03,58,Analyst,7.8,10.0,5.9,3.3,8.6,22,108,72,0,4,10.0,98.2,7,3,No
U06865,2025-01-03,59,Student,7.0,7.0,4.6,0.9,8.6,85,88,52,1,1,10.0,100.0,7,5,Yes
U06864,2025-01-03,48,Designer,8.2,10.0,5.7,2.9,10.0,63,80,63,0,4,10.0,98.8,5,3,No
U02094,2025-01-03,49,Designer,5.8,10.0,9.8,7.6,9.1,40,188,151,0,8,6.0,53.7,6,3,No
U02192,2025-01-03,33,Analyst,7.5,10.0,5.2,1.6,12.0,27,106,73,3,4,8.0,90.6,7,5,Yes
U00908,2025-01-03,27,Analyst,6.7,9.0,6.1,1.7,10.9,45,112,82,1,4,7.0,97.0,6,4,No
U01190,2025-01-03,19,Analyst,6.3,7.0,6.7,0.6,6.8,74,118,80,0,4,9.0,98.8,6,4,No
U03179,2025-01-03,49,Designer,6.3,10.0,6.3,2.3,10.6,36,104,82,2,4,10.0,92.9,4,3,No
U06641,2025-01-03,20,Designer,6.6,9.0,9.5,1.5,3.0,11,170,113,2,6,6.0,53.7,7,3,No
U04377,2025-01-03,32,Designer,7.8,10.0,6.6,1.2,10.3,74,102,73,1,1,10.0,100.0,6,4,No
U06844,2025-01-03,38,Software Engineer,6.7,6.0,9.8,5.7,7.7,29,173,117,3,8,7.0,48.2,9,4,Yes
U00378,2025-01-03,50,Analyst,8.1,10.0,10.3,4.5,7.1,15,167,123,2,7,8.0,67.7,3,1,No
U00483,2025-01-03,43,Software Engineer,7.9,10.0,3.4,1.9,10.8,25,78,60,0,3,9.0,99.9,11,8,No
U05875,2025-01-03,35,Student,7.5,10.0,8.9,5.8,9.4,30,189,138,0,5,6.0,75.3,6,3,Yes
U03960,2025-01-03,52,Designer,7.5,10.0,1.4,0.0,9.9,17,76,32,1,1,6.0,100.0,4,4,No
U00396,2025-01-03,43,Designer,9.4,10.0,4.9,3.1,10.3,15,129,82,1,4,7.0,97.5,6,6,No
U01651,2025-01-03,47,Designer,6.8,10.0,5.8,4.0,6.1,43,88,79,2,5,7.0,80.3,7,4,No
U02729,2025-01-04,58,Software Engineer,7.9,10.0,6.1,4.7,7.7,51,177,108,2,5,8.0,80.4,8,6,No
U04858,2025-01-04,47,Freelancer,7.0,9.0,12.6,3.8,6.6,76,227,142,5,6,10.0,62.1,3,0,No
U04869,2025-01-04,29,Teacher,5.1,10.0,6.9,0.6,10.2,34,130,74,1,3,8.0,74.4,11,6,No
U02572,2025-01-04,57,Freelancer,5.5,8.0,1.6,0.4,12.0,39,37,18,1,1,10.0,100.0,11,10,No
U05899,2025-01-04,45,Student,6.2,10.0,8.7,6.4,3.8,27,180,144,2,7,6.0,46.8,5,1,Yes
U00296,2025-01-04,44,Designer,5.1,8.0,2.5,2.5,10.8,71,67,34,1,1,8.0,100.0,7,5,No
U05960,2025-01-04,34,Freelancer,6.8,9.0,5.0,2.2,8.0,48,126,65,0,5,8.0,100.0,8,6,No
U04975,2025-01-04,21,Teacher,10.0,10.0,5.9,1.4,9.8,28,79,78,3,1,10.0,100.0,2,0,No
U00910,2025-01-04,40,Student,7.3,10.0,3.6,2.3,9.2,39,57,58,3,5,8.0,92.5,11,9,No
U00257,2025-01-04,41,Teacher,4.4,7.0,7.7,3.8,6.4,8,184,118,0,6,6.0,43.4,3,3,No
U01063,2025-01-04,38,Designer,3.2,5.0,6.8,2.7,9.0,42,133,73,0,6,8.0,67.0,2,0,No
U04422,2025-01-04,23,Software Engineer,5.8,9.0,7.8,1.0,7.6,11,141,72,4,7,6.0,54.8,3,1,Yes
U05114,2025-01-04,31,Software Engineer,6.2,10.0,5.1,2.2,7.8,38,105,53,2,3,7.0,94.9,13,9,Yes
U05946,2025-01-04,37,Designer,8.0,10.0,8.7,4.3,5.6,63,159,112,0,6,10.0,80.6,5,1,Yes
U01055,2025-01-04,31,Freelancer,7.5,9.0,8.3,4.6,6.1,29,138,116,2,5,10.0,74.2,7,5,No
U06277,2025-01-04,44,Designer,8.6,9.0,5.0,3.0,8.4,24,91,70,1,3,10.0,96.0,7,6,No
U03681,2025-01-04,58,Freelancer,10.0,10.0,5.4,3.0,8.9,66,117,78,2,2,9.0,100.0,10,9,Yes
U06832,2025-01-04,27,Analyst,8.8,10.0,4.1,0.3,11.3,62,34,47,1,1,10.0,100.0,6,5,No
U00810,2025-01-04,43,Analyst,9.0,10.0,8.6,3.5,6.6,72,168,112,3,4,10.0,80.0,5,4,No
U05416,2025-01-05,33,Software Engineer,6.4,8.0,8.1,1.9,9.6,8,141,105,1,8,6.0,65.5,4,1,No
U05130,2025-01-05,41,Student,7.3,8.0,5.4,2.9,7.4,23,125,62,1,4,8.0,87.3,11,8,No
U06608,2025-01-05,34,Designer,7.6,8.0,7.3,2.9,10.6,37,153,104,1,5,6.0,81.2,9,6,No
U06172,2025-01-05,54,Student,5.9,6.0,5.8,1.6,7.8,54,109,72,1,2,10.0,96.6,9,3,No
U06200,2025-01-05,41,Freelancer,6.7,7.0,8.4,4.5,7.6,24,193,118,3,7,7.0,76.9,7,3,Yes
U06557,2025-01-05,41,Software Engineer,7.0,10.0,3.5,1.5,11.0,54,30,41,1,1,9.0,100.0,5,5,No
U02919,2025-01-05,52,Teacher,5.8,8.0,6.6,2.2,7.6,74,120,82,0,5,10.0,81.7,6,4,Yes
U04148,2025-01-05,58,Analyst,6.1,9.0,8.0,2.0,2.8,7,152,114,0,7,9.0,52.6,3,2,No
U04104,2025-01-05,43,Designer,8.5,9.0,8.9,0.7,7.1,61,129,90,2,2,10.0,100.0,8,6,No
U05399,2025-01-05,45,Freelancer,7.5,10.0,7.0,1.3,10.1,69,129,64,0,2,10.0,100.0,6,3,Yes
U05395,2025-01-05,19,Freelancer,8.6,8.0,5.9,2.8,10.6,22,140,101,1,5,10.0,99.0,8,7,Yes
U04434,2025-01-05,39,Student,8.1,10.0,6.6,1.9,6.4,39,127,67,0,4,8.0,94.4,9,4,No
U04584,2025-01-05,40,Teacher,6.7,10.0,11.1,3.4,7.9,95,205,143,3,2,10.0,86.2,7,3,No
U06757,2025-01-06,24,Teacher,7.8,10.0,4.6,2.7,3.3,53,119,60,3,4,8.0,86.2,7,3,No
U01241,2025-01-06,59,Software Engineer,10.0,10.0,9.2,4.7,6.1,50,195,118,2,5,10.0,93.1,13,9,No
U02561,2025-01-06,54,Freelancer,4.7,8.0,9.4,5.9,4.7,10,185,134,1,7,7.0,51.1,11,5,No
U05526,2025-01-06,44,Software Engineer,4.8,8.0,5.0,0.2,8.5,30,50,50,1,5,9.0,84.1,12,7,No
U00139,2025-01-06,56,Analyst,7.0,9.0,7.8,4.7,6.7,12,164,147,1,6,7.0,69.8,9,4,No
U05951,2025-01-06,48,Freelancer,5.9,8.0,6.6,1.9,8.6,49,119,86,2,4,8.0,74.7,7,3,Yes
U05329,2025-01-06,46,Designer,7.2,6.0,5.6,2.3,8.3,21,134,99,3,6,7.0,64.4,8,4,No
U04151,2025-01-06,57,Teacher,6.7,10.0,12.9,6.0,7.3,35,226,167,2,8,5.0,55.0,2,0,No
U02945,2025-01-06,39,Analyst,7.3,10.0,10.2,1.8,7.4,50,180,132,3,7,8.0,64.6,5,2,Yes
U04697,2025-01-06,54,Freelancer,8.6,10.0,6.9,2.6,6.9,86,148,97,0,2,10.0,99.4,8,6,No
U04724,2025-01-06,59,Designer,7.6,8.0,10.3,3.7,7.9,47,189,137,0,7,9.0,76.4,8,2,Yes
U05674,2025-01-06,60,Designer,7.4,10.0,7.7,3.5,6.5,59,152,83,2,5,9.0,68.0,10,5,No
U01638,2025-01-06,34,Student,7.1,8.0,4.7,1.4,10.3,36,81,81,1,3,7.0,95.8,7,7,No
U00574,2025-01-06,24,Designer,7.5,10.0,6.9,1.2,6.7,56,116,63,4,2,10.0,100.0,3,3,Yes
U00268,2025-01-06,52,Analyst,6.8,10.0,4.0,1.0,7.9,26,50,54,1,2,10.0,97.1,6,3,No
U05986,2025-01-06,51,Student,9.5,10.0,4.4,1.7,8.0,11,89,78,2,2,9.0,100.0,2,2,No
U06936,2025-01-06,49,Software Engineer,7.4,10.0,8.4,3.4,8.8,19,154,121,1,8,6.0,59.0,8,4,No
U06000,2025-01-06,50,Software Engineer,7.5,10.0,9.6,5.1,6.2,36,167,101,1,7,9.0,56.4,5,3,Yes
U02947,2025-01-06,20,Software Engineer,7.8,10.0,9.9,5.5,6.4,102,210,129,2,5,10.0,89.2,5,5,No
U01876,2025-01-06,50,Student,6.4,10.0,6.1,2.8,5.5,89,129,74,4,5,10.0,88.6,7,4,No
U00877,2025-01-07,21,Freelancer,4.9,8.0,2.7,0.8,10.2,62,15,17,2,2,9.0,98.4,10,6,No
U00736,2025-01-07,47,Teacher,4.8,4.0,3.6,0.9,11.0,23,87,69,3,5,8.0,92.4,11,5,No
U03962,2025-01-07,31,Software Engineer,7.9,9.0,7.0,1.8,4.0,54,138,92,1,7,9.0,83.6,7,3,No
U04239,2025-01-07,40,Designer,5.8,9.0,7.9,3.7,5.9,94,145,94,2,5,10.0,74.4,9,5,No
U05198,2025-01-07,31,Designer,5.7,10.0,5.6,3.7,9.5,18,104,96,0,5,7.0,90.4,4,2,No
U03539,2025-01-07,33,Student,8.9,10.0,4.5,2.6,7.9,44,106,63,2,2,10.0,94.5,10,8,Yes
U02825,2025-01-07,47,Analyst,6.2,7.0,6.9,3.4,10.0,9,163,98,3,7,7.0,76.2,10,4,No
U03214,2025-01-07,41,Student,9.0,10.0,7.4,4.9,9.1,53,188,117,2,5,9.0,94.8,12,9,No
U00422,2025-01-07,45,Analyst,7.9,10.0,7.9,3.9,9.8,54,178,110,1,5,9.0,80.4,6,3,No
U06578,2025-01-07,24,Analyst,8.7,10.0,2.0,0.7,10.7,14,39,37,2,5,9.0,100.0,7,6,Yes
U01238,2025-01-07,55,Teacher,8.5,10.0,8.8,1.7,7.9,20,84,99,1,5,9.0,94.2,8,6,No
U05542,2025-01-07,20,Student,7.1,10.0,4.6,2.3,8.8,22,125,50,1,5,10.0,94.0,3,0,No
U04312,2025-01-07,20,Analyst,7.3,10.0,1.8,0.6,11.6,27,32,9,0,2,8.0,100.0,7,7,No
U06523,2025-01-07,60,Teacher,7.9,10.0,3.9,1.0,11.1,116,87,55,2,1,10.0,100.0,13,9,Yes
U04700,2025-01-07,21,Teacher,7.1,7.0,4.7,2.5,11.2,11,106,62,1,3,8.0,100.0,4,3,Yes
U04900,2025-01-07,41,Analyst,7.7,10.0,4.9,1.9,9.4,2,58,48,3,5,8.0,93.4,7,3,No
U04519,2025-01-07,44,Software Engineer,6.5,10.0,6.0,1.6,11.6,28,107,61,0,6,8.0,93.7,3,2,No
U02225,2025-01-07,52,Designer,9.4,10.0,8.7,2.2,9.6,36,147,111,2,6,10.0,86.7,6,4,No
U06981,2025-01-08,37,Teacher,5.9,7.0,4.5,2.7,8.7,96,136,72,3,2,10.0,100.0,5,4,No
U04557,2025-01-08,19,Analyst,6.8,9.0,7.2,2.5,7.0,36,159,92,3,5,10.0,82.3,4,2,No
U06609,2025-01-08,19,Freelancer,7.2,10.0,6.3,2.0,5.5,95,125,85,2,5,10.0,89.8,9,4,No
U03530,2025-01-08,24,Teacher,6.6,9.0,6.1,1.5,8.2,54,91,70,2,5,9.0,81.4,6,5,No
U01696,2025-01-08,50,Software Engineer,6.1,9.0,7.9,3.6,7.0,32,141,101,5,6,6.0,70.0,3,1,Yes
U05199,2025-01-08,50,Teacher,7.3,10.0,7.4,3.3,8.9,81,149,122,1,3,10.0,100.0,5,4,No
U05894,2025-01-08,29,Software Engineer,7.5,7.0,6.5,4.6,8.5,35,160,118,2,6,8.0,82.3,2,2,No
U03216,2025-01-08,28,Freelancer,7.7,9.0,7.1,1.6,8.5,41,169,85,2,5,10.0,100.0,5,5,Yes
U02227,2025-01-08,41,Student,9.1,10.0,6.6,4.2,5.8,48,143,103,3,2,10.0,100.0,6,6,No
U00545,2025-01-08,48,Designer,6.9,6.0,4.6,0.0,9.5,33,65,48,4,5,10.0,98.3,5,4,No
U03874,2025-01-08,57,Freelancer,4.9,9.0,6.6,3.1,9.1,78,126,89,0,1,10.0,97.7,8,6,No
U04344,2025-01-08,49,Analyst,6.8,6.0,7.7,1.9,7.0,23,136,96,0,5,8.0,77.8,10,5,Yes
U00812,2025-01-08,24,Software Engineer,7.8,10.0,8.8,4.9,7.1,33,190,114,4,5,7.0,71.1,9,4,Yes
U05596,2025-01-08,55,Analyst,5.6,9.0,4.9,0.9,7.5,45,97,61,4,2,10.0,86.8,6,3,No
U01573,2025-01-08,39,Analyst,7.0,10.0,9.6,3.3,7.8,25,164,112,2,6,7.0,70.1,7,6,No
U00620,2025-01-08,33,Freelancer,6.5,10.0,5.9,2.8,10.4,102,81,79,1,3,7.0,100.0,11,8,No
U00115,2025-01-08,18,Freelancer,7.4,6.0,10.3,5.6,3.2,60,203,154,3,5,6.0,52.9,5,3,No
U01207,2025-01-08,40,Teacher,6.2,8.0,8.4,1.5,4.8,39,119,88,0,6,7.0,60.9,7,3,Yes
U01221,2025-01-08,43,Analyst,6.6,8.0,8.7,3.2,6.1,23,158,118,3,8,8.0,60.6,9,6,No
U04045,2025-01-08,27,Designer,5.8,7.0,12.0,2.2,9.9,36,178,134,1,8,7.0,60.9,10,4,No
U03827,2025-01-09,43,Designer,5.9,10.0,8.1,4.5,7.5,33,162,132,0,6,5.0,58.6,8,5,Yes
U04325,2025-01-09,56,Software Engineer,8.4,9.0,7.3,2.0,8.3,24,153,77,0,5,8.0,75.0,6,4,No
U04101,2025-01-09,21,Designer,5.3,10.0,6.3,2.0,5.1,36,117,86,2,4,7.0,68.0,6,5,No
U01754,2025-01-09,49,Freelancer,8.4,10.0,8.2,0.9,7.6,24,143,67,1,3,8.0,90.4,4,4,No
U02573,2025-01-09,56,Designer,7.7,10.0,9.1,3.3,6.7,54,184,121,1,6,7.0,81.5,2,0,No
U05346,2025-01-09,48,Designer,7.7,10.0,8.7,4.1,6.4,86,186,92,3,4,10.0,80.6,8,5,No
U06293,2025-01-09,30,Analyst,6.0,9.0,7.6,2.5,6.9,51,133,99,2,5,8.0,89.0,6,3,No
U04078,2025-01-09,44,Teacher,6.2,9.0,8.2,1.2,6.5,18,131,82,3,3,7.0,77.3,6,5,Yes
U04156,2025-01-09,22,Student,7.0,9.0,6.3,3.8,8.6,19,120,89,2,4,10.0,85.8,11,6,Yes
U02554,2025-01-09,51,Student,8.1,10.0,6.0,3.2,11.2,68,142,78,2,2,10.0,100.0,7,3,Yes
U03767,2025-01-09,59,Freelancer,8.2,10.0,10.6,4.7,8.3,68,158,136,1,7,9.0,66.2,9,5,No
U03329,2025-01-09,20,Freelancer,6.7,10.0,9.4,3.1,7.8,11,154,103,1,8,7.0,70.3,7,2,No
U03491,2025-01-09,34,Student,8.0,10.0,4.3,2.1,10.5,62,63,74,0,1,10.0,100.0,4,4,No
U03740,2025-01-09,30,Designer,7.1,10.0,6.3,1.9,7.4,19,140,94,1,7,7.0,60.8,7,3,No
U05269,2025-01-09,46,Freelancer,9.4,10.0,7.4,1.7,9.5,22,135,62,3,6,10.0,83.0,11,7,No
U05374,2025-01-10,18,Analyst,7.9,10.0,7.4,2.5,9.9,42,111,90,2,4,8.0,89.8,4,2,No
U03587,2025-01-10,60,Student,7.3,10.0,7.9,1.2,7.1,10,108,76,2,5,6.0,70.0,7,3,No
U02092,2025-01-10,45,Software Engineer,6.6,10.0,8.6,2.5,5.3,50,170,115,2,5,7.0,70.2,17,8,No
U06965,2025-01-10,32,Software Engineer,9.1,10.0,3.6,0.2,9.3,22,95,34,1,4,10.0,100.0,6,3,No
U03602,2025-01-10,47,Analyst,8.1,8.0,6.1,3.2,8.6,67,125,76,2,4,10.0,100.0,9,6,No
U02287,2025-01-10,40,Software Engineer,6.2,8.0,7.6,4.4,4.1,19,151,108,1,5,9.0,65.6,11,5,No
U01983,2025-01-10,38,Teacher,8.8,9.0,9.3,1.4,7.5,26,158,87,2,4,10.0,99.0,4,1,Yes
U03140,2025-01-10,20,Designer,6.6,10.0,7.1,3.4,11.5,38,145,107,1,6,7.0,89.0,3,1,No
U01598,2025-01-10,30,Teacher,7.2,10.0,3.2,0.4,9.7,70,67,44,1,1,9.0,100.0,8,5,No
U04082,2025-01-10,37,Analyst,6.6,9.0,3.5,0.1,9.5,49,53,39,2,3,7.0,100.0,5,1,No
U00146,2025-01-10,24,Student,6.9,6.0,9.4,2.1,7.8,27,195,112,1,9,7.0,58.0,5,1,Yes
U01519,2025-01-10,48,Software Engineer,3.8,7.0,6.6,2.0,10.1,13,150,79,0,6,7.0,71.9,11,5,Yes
U06870,2025-01-10,50,Student,6.7,9.0,8.7,5.7,8.2,18,181,114,0,9,9.0,59.6,2,2,Yes
U02369,2025-01-10,30,Software Engineer,6.0,10.0,4.0,2.9,8.4,19,111,58,1,5,8.0,85.4,2,2,No
U04807,2025-01-10,37,Designer,8.9,10.0,7.3,4.5,7.5,8,130,116,0,4,6.0,75.4,7,4,No
U01039,2025-01-10,35,Student,7.2,10.0,7.0,2.7,6.6,59,165,87,3,3,9.0,73.7,7,4,No
U00122,2025-01-10,43,Freelancer,7.1,10.0,4.5,1.3,12.0,12,112,67,2,6,8.0,88.5,7,5,No
U03434,2025-01-10,53,Software Engineer,7.1,10.0,5.1,2.6,9.1,113,130,65,0,1,10.0,100.0,9,5,No
U06178,2025-01-10,20,Freelancer,6.2,9.0,4.7,1.9,8.0,54,108,51,1,5,8.0,88.2,6,3,Yes
U02468,2025-01-10,39,Designer,5.2,9.0,2.5,1.2,9.7,22,102,38,2,3,7.0,89.1,8,4,No
U03243,2025-01-10,22,Designer,9.2,10.0,5.8,3.4,6.2,8,126,86,0,5,9.0,74.6,10,6,Yes
U04816,2025-01-11,53,Analyst,7.2,10.0,5.1,3.4,9.8,51,138,107,2,6,9.0,85.7,8,5,Yes
U03882,2025-01-11,21,Teacher,8.3,10.0,8.7,2.5,6.8,4,126,105,1,6,8.0,68.7,3,0,No
U05729,2025-01-11,47,Freelancer,8.7,10.0,7.2,1.7,11.7,86,118,84,1,5,10.0,91.1,5,5,No
U05966,2025-01-11,23,Software Engineer,6.2,8.0,7.8,1.6,11.2,17,104,85,2,3,8.0,94.1,4,2,No
U02391,2025-01-11,36,Student,4.2,6.0,9.1,2.4,10.6,28,168,120,2,9,6.0,50.1,6,4,No
U00723,2025-01-11,55,Designer,6.1,7.0,8.1,2.5,7.4,15,123,86,0,6,8.0,66.9,6,1,No
U03648,2025-01-11,49,Software Engineer,8.3,10.0,9.5,5.3,7.9,39,188,146,0,7,6.0,68.6,3,0,No
U05159,2025-01-11,23,Student,5.8,5.0,3.9,1.9,12.0,13,111,57,1,4,8.0,91.1,6,6,No
U03518,2025-01-11,54,Analyst,6.8,9.0,5.5,3.2,12.0,52,164,80,3,3,8.0,100.0,8,5,No
U00676,2025-01-11,38,Software Engineer,6.3,8.0,4.8,0.9,11.0,25,76,62,5,3,10.0,100.0,6,6,No
U02877,2025-01-11,52,Analyst,9.6,10.0,6.5,2.0,6.7,34,126,89,1,4,8.0,100.0,10,9,No
U01773,2025-01-11,38,Student,7.1,10.0,8.2,1.3,8.8,29,121,94,2,5,7.0,82.2,9,4,Yes
U03227,2025-01-11,54,Student,4.9,10.0,2.9,2.0,9.1,18,85,47,3,3,9.0,72.6,9,5,No
U03427,2025-01-11,39,Student,7.5,10.0,2.8,2.4,10.0,21,66,61,2,2,8.0,97.0,6,2,No
U04917,2025-01-11,43,Designer,8.4,10.0,6.2,2.3,8.2,45,129,71,2,5,7.0,72.5,15,8,Yes
U01332,2025-01-11,33,Teacher,6.1,10.0,1.8,0.5,12.0,4,38,33,2,3,8.0,100.0,6,6,No
U02008,2025-01-11,42,Teacher,6.9,10.0,4.1,2.4,9.8,27,68,47,2,3,10.0,100.0,13,9,No
U01795,2025-01-11,20,Analyst,7.2,9.0,3.2,0.7,10.7,31,76,66,3,3,8.0,98.8,3,1,No
U05540,2025-01-11,52,Student,5.0,8.0,6.5,2.9,8.0,71,121,69,3,2,7.0,89.3,9,7,No
U05548,2025-01-12,37,Student,5.6,9.0,6.4,1.7,8.1,25,155,93,3,7,8.0,73.5,5,1,No
U04057,2025-01-12,44,Teacher,7.5,10.0,7.9,2.0,5.6,18,133,84,1,7,7.0,63.8,8,5,Yes
U00871,2025-01-12,48,Software Engineer,8.3,10.0,5.9,1.0,12.0,25,104,71,2,2,10.0,100.0,14,10,No
U04967,2025-01-12,58,Designer,7.1,10.0,4.4,2.5,11.4,29,47,63,2,3,10.0,91.3,5,2,No
